Make,Model,Year,License Plate
Mercedes,S-Class,2022,ABC123
BMW,7 Series,2021,XYZ789
Audi,A8,2023,DEF456
Lexus,LS 500,2022,GHI789
Cadillac,CT6,2021,JKL012
Range Rover,Velar,2023,MNO345
Infiniti,Q70,2022,PQR678
Lincoln,Continental,2021,STU901
Volvo,S90,2023,VWX234
Tesla,Model S,2022,YZABCD
Jaguar,XJ,2021,EFG567
Porsche,Panamera,2023,HIJ890
Bentley,Continental GT,2022,KLM123
Toyota,Land Cruiser,2021,NOP456
Chevrolet,Impala,2023,QRS789
Ford,Lincoln MKZ,2022,TUV012
Hyundai,Genesis G90,2021,WXY345
Kia,K900,2023,ZAB678
Subaru,Legacy,2022,BCD901
Maserati,Quattroporte,2021,CDE234
